Date,Workout Type,Body Weight (lbs),Exercise Weight (lbs)
2023-02-27,Body Weight Tracking,140.2,
2025-03-06,Body Weight Tracking,140.8,
2025-03-13,Body Weight Tracking,140.8,
2025-03-20,Body Weight Tracking,142.6,
2025-03-27,Body Weight Tracking,143.6,
2025-04-03,Body Weight Tracking,145.8,
2025-04-10,Body Weight Tracking,146.6,
2025-04-17,Body Weight Tracking,144.8,
2025-04-24,Body Weight Tracking,146.6,
2025-05-01,Body Weight Tracking,147.6,
2025-05-10,Body Weight Tracking,145.6,
2025-05-15,Body Weight Tracking,145.2,
2025-05-22,Body Weight Tracking,144.6,
2025-05-29,Body Weight Tracking,145.0,
2025-06-05,Body Weight Tracking,145.0,
2025-06-12,Body Weight Tracking,144.2,
2025-06-19,Body Weight Tracking,146.4,
2025-06-26,Body Weight Tracking,147.4,
2025-07-04,Body Weight Tracking,147.2,
2025-07-10,Body Weight Tracking,147.0,
2025-07-17,Body Weight Tracking,147.8,
2025-07-25,Body Weight Tracking,147.4,
2025-07-31,Body Weight Tracking,148.8,
2025-08-08,Body Weight Tracking,149.4,
2025-08-14,Body Weight Tracking,149.4,
2025-08-21,Body Weight Tracking,150.0,
2025-08-28,Body Weight Tracking,150.6,
2025-09-05,Body Weight Tracking,151.0,
2025-09-11,Body Weight Tracking,150.2,
2025-09-18,Body Weight Tracking,151.6,
2025-09-25,Body Weight Tracking,153.0,
2025-10-02,Body Weight Tracking,152.6,
2025-10-09,Body Weight Tracking,154.0,
2025-10-16,Body Weight Tracking,153.6,
2025-10-23,Body Weight Tracking,153.0,
2025-10-30,Body Weight Tracking,153.2,
2025-11-06,Body Weight Tracking,152.6,
2025-11-20,Body Weight Tracking,151.8,
2025-11-27,Body Weight Tracking,151.2,
2025-12-04,Body Weight Tracking,150.8,
2025-12-11,Body Weight Tracking,151.4,
2025-12-18,Body Weight Tracking,151.0,
2024-01-02,Body Weight Tracking,150.4,
2025-01-08,Body Weight Tracking,148.4,
2025-01-15,Body Weight Tracking,150.8,
2025-01-29,Body Weight Tracking,151.4,
2025-02-05,Body Weight Tracking,151.8,
2025-02-12,Body Weight Tracking,153.4,
2025-02-26,Body Weight Tracking,152.2,
2025-03-04,Body Weight Tracking,151.4,
2025-03-11,Body Weight Tracking,155.8,
2025-03-18,Body Weight Tracking,154.2,
2025-03-25,Body Weight Tracking,155.8,
2025-04-01,Body Weight Tracking,156.4,
2025-04-08,Body Weight Tracking,156.2,
2025-04-15,Body Weight Tracking,157.4,
2025-04-22,Body Weight Tracking,156.0,
2025-04-29,Body Weight Tracking,155.4,
2025-05-06,Body Weight Tracking,154.2,
2025-05-13,Body Weight Tracking,153.6,
2025-05-21,Body Weight Tracking,153.8,
2025-05-27,Body Weight Tracking,155.2,
2025-06-03,Body Weight Tracking,156.6,
2025-06-10,Body Weight Tracking,154.4,
2025-06-17,Body Weight Tracking,156.4,
2025-06-24,Body Weight Tracking,158.6,
2025-07-02,Body Weight Tracking,157.6,
2025-07-08,Body Weight Tracking,158.0,
2025-07-15,Body Weight Tracking,159.2,
2025-07-22,Body Weight Tracking,158.8,
2025-07-30,Body Weight Tracking,158.4,
2025-08-06,Body Weight Tracking,159.6,
2025-08-12,Body Weight Tracking,161.2,
2025-08-19,Body Weight Tracking,162.2,
2025-08-26,Body Weight Tracking,162.8,
2025-09-16,Body Weight Tracking,163.6,
2025-09-23,Body Weight Tracking,164.2,
2025-09-30,Body Weight Tracking,162.4,
2025-10-08,Body Weight Tracking,161.4,
2025-10-15,Body Weight Tracking,160.8,
2025-10-15,Body Weight Tracking,160.6,
2025-10-28,Body Weight Tracking,163.0,
2025-11-04,Body Weight Tracking,163.8,
2025-11-11,Body Weight Tracking,160.8,
2025-11-18,Body Weight Tracking,162.8,
2025-11-27,Body Weight Tracking,161.4,
2025-12-02,Body Weight Tracking,161.8,
2025-12-09,Body Weight Tracking,162.2,
2025-12-16,Body Weight Tracking,161.8,
2025-12-16,Body Weight Tracking,163.8,
2025-12-16,Body Weight Tracking,164.0,
2025-01-06,Body Weight Tracking,161.8,
2025-01-13,Body Weight Tracking,160.8,
2025-01-20,Body Weight Tracking,161.6,
2025-01-27,Body Weight Tracking,161.8,
2025-02-03,Body Weight Tracking,160.8,
2025-02-10,Body Weight Tracking,161.2,
2025-02-18,Body Weight Tracking,161.0,
2025-02-24,Body Weight Tracking,161.0,
2025-03-04,Body Weight Tracking,158.4,
2025-03-04,Body Weight Tracking,155.8,
2025-03-17,Body Weight Tracking,157.0,
2025-03-24,Body Weight Tracking,157.6,
2025-03-31,Body Weight Tracking,157.8,
2025-04-28,Body Weight Tracking,151.6,
2025-05-05,Body Weight Tracking,155.0,
2025-05-12,Body Weight Tracking,155.0,
2025-05-20,Body Weight Tracking,155.8,
